stan,league,match,bet,outcome,sb,sb_id,date,original_odds,real_odds,value (%)
active,ATP-MADRID,B.V.D.Zandschulp - P.Carreno B.,1X2_SET1,2,,,,,,
active,AUS,Melbourne City - Wellington Phoenix,1X2,1,1.47,e082596d,2022-05-09 10:05:00,1.45,1.479,-0.61
active,AUS,Sydney FC - Melbourne Victory,GOALS,-3.5,,,,,,
active,AUT2,Vorwarts S. - FC Liefering,GOALS_H1,-1.5,1.55,06fccc11,2022-05-06 17:30:00,1.41,1.514,2.38
active,AUT2,Vorwarts S. - FC Liefering,HOME_GOALS,-1.5,1.65,8e44ba67,2022-05-06 17:30:00,1.58,1.657,-0.42
active,AUT2,Rapid II W. - SV Lafnitz,GOALS,2.5,1.70,a2a42b57,2022-05-06 17:30:00,1.63,1.702,-0.12
active,AUT2,Floridsdorfer AC - BW Linz,GOALS_H1,-1.5,1.35,ca07fed9,2022-05-06 19:25:00,1.22,1.316,2.58
active,AUT2,Floridsdorfer AC - BW Linz,HOME_GOALS,-1.5,1.45,13ef8635,2022-05-06 19:25:00,1.40,1.455,-0.34
active,AUT2,W.Innsbruck - SV Horn,GOALS,-4.5,,,,,,
active,BRA,Flamengo RJ - Botafogo RJ,1X2,1,1.35,e92a4ebc,2022-05-08 15:00:00,1.32,1.341,0.67
active,BRA,Athletico PR - Ceara,GOALS,-3.5,,,,,,
active,BRA,Atletico MG - America MG,1X2,1,,,,,,
active,BRA,Sao Paulo - Santos SP,AWAY_HANDI,1.5,,,,,,
active,CHI,Coquimbo Unido - Huachipato,GOALS,-3.5,1.28,317c4da8,2022-05-09 01:00:00,1.25,1.289,-0.7
active,COL,Atletico Nacional - Deportivo Pereira,GOALS_H1,-1.5,1.36,6ebb90a0,2022-05-07 02:00:00,1.26,1.344,1.19
active,COL,Atletico Bucaramanga - Patriotas Boyaca,GOALS,-3.5,1.25,86d67823,2022-05-07 20:00:00,1.21,1.252,-0.16
active,CRO,Dinamo Z. - Osijek,AWAY_HANDI,1.5,1.42,abc70c78,2022-05-08 19:00:00,1.38,1.434,-0.98
active,CRO,HNK Gorica - Lokomotiva Z.,HOME_TO_SCORE,1,,,,,,
active,CRO,Istra 1961 - Sibenik,GOALS_H1,-1.5,,,,,,
active,CRO,HNK Gorica - Lokomotiva Z.,AWAY_GOALS,-1.5,,,,,,
active,CRO,HNK Gorica - Lokomotiva Z.,GOALS_H1,0.5,,,,,,
active,ENG,Brentford - Southampton,GOALS,-3.5,1.37,ddbffc13,2022-05-07 15:00:00,1.35,1.382,-0.87
active,ENG,Crystal Palace - Watford,1X2,1,1.70,023f4363,2022-05-07 15:00:00,1.63,1.68,1.19
active,ENG,Burnley - Aston Villa,AWAY_TO_SCORE_H1,0,1.70,b3d1d214,2022-05-07 15:00:00,1.61,1.7,0
active,ENG,Liverpool - Tottenham,1X2,1,1.45,5f2541f6,2022-05-07 19:45:00,1.40,1.439,0.76
active,ENG,Manchester City - Newcastle,1X2,1,,,,,,
active,ENG,Crystal Palace - Watford,GOALS,-3.5,,,,,,
active,ENG,Chelsea - Wolverhampton,1X2,1,,,,,,
active,ENG,Crystal Palace - Watford,AWAY_HANDI,1.5,,,,,,
active,ENG,Manchester Utd - Brentford,AWAY_HANDI,1.5,,,,,,
active,ENG,Burnley - Aston Villa,AWAY_TO_SCORE,1,,,,,,
active,ENG,Leicester - Everton,GOALS_H1,-1.5,,,,,,
active,ENG,Norwich - West Ham,HOME_HANDI,1.5,,,,,,
active,ENG,Watford - Burnley,OFFSIDES,3.5,1.9,662361f3,,1.70,1.817,4.57
active,ENG2,Derby - Cardiff,GOALS_H1,0.5,1.40,0a294fd4,2022-05-07 12:30:00,1.38,1.413,-0.92
active,ENG2,Huddersfield - Bristol City,AWAY_TO_SCORE,1,1.50,0cfc38ed,2022-05-07 12:30:00,1.46,1.511,-0.73
active,ENG2,Derby - Cardiff,HOME_TO_SCORE,1,,,,,,
active,ENG2,WBA - Barnsley,1X2,1,,,,,,
active,ENG2,Peterborough - Blackpool,GOALS,-3.5,,,,,,
active,ENG2,Birmingham - Blackburn,GOALS,-3.5,,,,,,
active,ENG2,WBA - Barnsley,GOALS,-4.5,,,,,,
active,ENG2,Peterborough - Blackpool,GOALS,-4.5,,,,,,
active,ENG2,Stoke - Coventry,GOALS_H1,0.5,,,,,,
active,ENG2,Bournemouth - Millwall,GOALS,-3.5,,,,,,
active,ENG2,Bournemouth - Millwall,AWAY_HANDI,1.5,,,,,,
active,ENG2,Sheffield Utd - Fulham,GOALS_H1,0.5,,,,,,
active,ENG2,Huddersfield - Bristol City,GOALS_H1,0.5,,,,,,
active,ESP,Mallorca - Granada,GOALS_H1,0.5,1.50,e13b580e,2022-05-07 13:00:00,1.45,1.503,-0.2
active,ESP,Bilbao - Valencia,1X2,1,1.78,ee1fef10,2022-05-07 15:15:00,1.63,1.679,6.02
active,ESP,Bilbao - Valencia,HOME_TO_SCORE,1,1.20,00142cf9,2022-05-07 15:15:00,1.16,1.2,0
active,ESP,Cadiz - Elche,HOME_TO_SCORE,1,1.28,773ab348,2022-05-07 17:30:00,1.24,1.282,-0.16
active,ESP,Celta - Alaves,AWAY_HANDI,1.5,1.35,b990a8c2,2022-05-07 17:30:00,1.28,1.323,2.04
active,ESP,Cadiz - Elche,AWAY_HANDI,1.5,,,,,,
active,ESP,Espanyol - Osasuna,HOME_TO_SCORE,1,,,,,,
active,ESP,Mallorca - Granada,AWAY_HANDI,1.5,,,,,,
active,ESP,Real Madryt - Espanyol,YELLOW,2.5,1.3,6e5b9bf8,,1.23,1.285,1.17
active,ESP,Real Madryt - Espanyol,YELLOW,3.5,1.75,80a1040e,,1.60,1.694,3.31
active,ESP,Valencia - Levante,SHOTS_ON_TARGET,8.5,1.9,01e1f30d,,1.67,1.782,6.62
active,ESP,Bilbao - Atl.Madryt,YELLOW,5.5,1.85,4ee388db,,1.65,1.759,5.17
active,ESP2,Fuenlabrada - Sociedad B,GOALS_H1,0.5,1.50,dd22561e,2022-05-07 15:00:00,1.46,1.503,-0.2
active,ESP2,Ibiza Eivissa - Lugo,HOME_TO_SCORE,1,1.28,85c9475b,2022-05-08 17:15:00,1.25,1.287,-0.54
active,ESP2,Cartagena - Leganes,GOALS,-3.5,,,,,,
active,ESP2,Leganes - Huesca,CORNERS_H1,3.5,,,,,,
active,ESP2,Cartagena - Leganes,GOALS_H1,-1.5,,,,,,
active,ESP2,Ponferradina - Burgos,GOALS,1.5,,,,,,
active,ESP2,Malaga - Oviedo,GOALS,-3.5,,,,,,
active,ESP2,Leganes - SD Huesca,HOME_TO_SCORE,1,,,,,,
active,ESP2,Eibar - Valladolid,AWAY_TO_SCORE,1,,,,,,
active,ESP2,Las Palmas - Mirandes,GOALS,1.5,,,,,,
active,ESP2,Eibar - Valladolid,GOALS_H1,-1.5,,,,,,
active,FIN,FC Haka Valkeakoski - Vaasa PS,HOME_TO_SCORE,1,1.22,76c16730,2022-05-07 15:00:00,1.20,1.228,-0.65
active,FIN,Haka V. - VPS Vaasa,AWAY_HANDI,1.5,,,,,,
active,FRA,Metz - Lyon,1X2,2,1.52,5ee45ba3,2022-05-08 12:00:00,1.49,1.533,-0.85
active,FRA,PSG - Troyes,GOALS,-4.5,,,,,,
active,FRA,Angers - Bordeaux,GOALS_H1,0.5,,,,,,
active,FRA,Lille - Monaco,HOME_HANDI,1.5,,,,,,
active,FRA,Angers - Bordeaux,AWAY_TO_SCORE,1,,,,,,
active,FRA,Monaco - Angers,YELLOW,-4.5,1.55,2782d7d9,,1.38,1.456,6.46
active,FRA,Troyes - Lille,YELLOW,4.5,1.85,34575f84,,1.70,1.802,2.66
active,FRA,Marsylia - Lyon,CORNERS,-10.5,1.6,c3752230,,1.54,1.6,0
active,FRA2,Dijon - Nancy,AWAY_TO_SCORE,1,1.50,c8773874,2022-05-07 18:00:00,1.45,1.506,-0.4
active,FRA2,Valenciennes - Sochaux,GOALS,-3.5,,,,,,
active,FRA2,Dunkerque - Guingamp,AWAY_GOALS,-1.5,,,,,,
active,FRA2,Dunkerque - Guingamp,GOALS,-3.5,,,,,,
active,FRA2,Grenoble - AC Ajaccio,GOALS,-3.5,,,,,,
active,FRACUP,Nice - Nantes,GOALS_H1,-1.5,,,,,,
active,GER,FC Koln - Wolfsburg,AWAY_TO_SCORE,1,1.50,e146cd93,2022-05-07 14:30:00,1.47,1.513,-0.86
active,GER,Koln - Wolfsburg,1X2,1,1.85,c86dc13a,2022-05-07 14:30:00,1.74,1.792,3.24
active,GER,RB Lipsk - Augsburg,1X2,1,,,,,,
active,GER,Bayern M. - Stuttgart,GOALS,-4.5,,,,,,
active,GER,Hoffenheim - Leverkusen,HOME_TO_SCORE,1,,,,,,
active,GER,Koln - Wolfsburg,AWAY_TO_SCORE,1,,,,,,
active,GER,Leverkusen - Eintracht F.,AWAY_HANDI,2.5,,,,,,
active,GER,Stuttgart - Wolfsburg,YELLOW,-4.5,1.55,92ab8c0d,,1.46,1.538,0.78
active,GER,A.Bielefeld - Hertha,SHOTS_ON_TARGET,-8.5,1.75,3ce03731,,1.60,1.694,3.31
active,GER2,Hamburger - Hannover,GOALS,-4.5,1.30,9e3cb6a9,2022-05-07 12:30:00,1.28,1.311,-0.84
active,GER2,Erzg.Aue - Werder,GOALS,-4.5,1.47,c42f0575,2022-05-08 12:30:00,1.41,1.461,0.62
active,GER2,Karlsruher - Dyn.Drezno,AWAY_GOALS,-1.5,,,,,,
active,GER3,Wurzburger Kickers - Hallescher,GOALS_H1,-1.5,,,,,,
active,GER3,Viktoria Koln - Kaiserslautern,GOALS_H1,-1.5,,,,,,
active,GER3,Wurzburger Kickers - Hallescher,GOALS,-3.5,,,,,,
active,IRE,Shamrock Rovers - Finn Harps,1X2,1,1.30,866d6e3a,2022-05-06 20:00:00,1.25,1.274,2.04
active,IRE,Shamrock Rovers - Finn Harps,GOALS,-3.5,1.40,f40029a7,2022-05-06 20:00:00,1.35,1.39,0.72
active,IRE,Derry City - Bohemians Dublin,GOALS,1.5,,,,,,
active,ITA,Salernitana - Venezia,1X2,1,1.90,0bf052d0,2022-05-05 17:00:00,1.83,1.852,2.59
active,ITA,Genoa - Juventus,HOME_TO_SCORE_H1,0,1.47,7e3176d5,2022-05-06 20:00:00,1.44,1.481,-0.74
active,ITA,Genoa - Juventus,GOALS,-3.5,1.37,884d6a78,2022-05-06 20:00:00,1.32,1.366,0.29
active,ITA,Lazio - Sampdoria,1X2,1,1.53,b65bf4bb,2022-05-07 19:45:00,1.50,1.538,-0.52
active,ITA,Spezia - Atalanta,1X2,2,1.52,78377c92,2022-05-08 11:30:00,1.49,1.534,-0.91
active,ITA,Fiorentina - Roma,GOALS,-3.5,1.42,aacd8ec8,2022-05-09 19:45:00,1.38,1.417,0.21
active,ITA,Salernitana - Venezia,GOALS_H1,0.5,,,,,,
active,ITA,Salernitana - Venezia,HOME_TO_SCORE,1,,,,,,
active,ITA,Verona - AC Milan,HOME_HANDI,1.5,,,,,,
active,ITA,Salernitana - Venezia,AWAY_HANDI,1.5,,,,,,
active,ITA,Verona - AC Milan,HOME_TO_SCORE,1,,,,,,
active,ITA,Atalanta - Salernitana,1X2,1,,,,,,
active,ITA,Udinese - Inter M.,YELLOW,3.5,1.47,6e6a7390,,1.33,1.394,5.45
active,ITA,Juventus - Venezia,YELLOW,3.5,1.52,05ae15d4,,1.42,1.492,1.88
active,ITA,AC Milan - Fiorentina,YELLOW,4.5,1.55,0ea4f8fa,,1.45,1.524,1.71
active,ITA,Empoli - Torino,YELLOW,4.5,1.7,a8079cec,,1.50,1.579,7.66
active,ITA,Cagliari - Verona,YELLOW,5.5,1.75,c36e972d,,1.60,1.702,2.82
active,ITA,Sampdoria - Genoa,YELLOW,5.5,1.62,3db235b6,,1.51,1.612,0.5
